what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86_64",1433786650578
ws,sysinfo,,,"cocoa",1433786650578
locale,sysinfo,,,"en_US",1433786650578
processors,sysinfo,,,"2",1433786650578
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1433786650578
java.runtime.version,sysinfo,,,"1.6.0_65-b14-466.1-11M4716",1433786650578
java.specification.name,sysinfo,,,"Java Platform API Specification",1433786650578
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1433786650578
java.specification.version,sysinfo,,,"1.6",1433786650578
java.vendor,sysinfo,,,"Apple Inc.",1433786650578
java.version,sysinfo,,,"1.6.0_65",1433786650578
java.vm.info,sysinfo,,,"mixed mode",1433786650578
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1433786650578
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1433786650578
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1433786650578
java.vm.specification.version,sysinfo,,,"1.0",1433786650578
java.vm.vendor,sysinfo,,,"Apple Inc.",1433786650578
java.vm.version,sysinfo,,,"20.65-b04-466.1",1433786650578
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1433786650604
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1433786651905
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433786661061
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433786674562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433786683688
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1433786684376
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1433786684529
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1433786685381
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1433786685501
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1433786686480
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1433786687032
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1433786687308
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1433786687473
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20110509,"org.eclipse.jdt.launching.macosx",1433786687880
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1433786687968
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.edit.text.openLocalFile",1433786688342
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1433786690126
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1433786690837
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1433786691457
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1433786691988
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1433786692027
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1433786694527
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1433786694738
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433786694865
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1433786695241
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1433786695361
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433786699803
error,log,,,"Unhandled event loop exception",1433786699980
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433786705653
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433786708869
error,log,,,"Unhandled event loop exception",1433786708972
activated,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1433786711767
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1433786711819
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1433786715136
closed,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1433786715277
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433786726173
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433786726659
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1433786727832
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1433786727849
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1433786729129
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433786734184
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433786735733
error,log,,,"Unhandled event loop exception",1433786735843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433786740111
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1433786746547
error,log,,,"Unhandled event loop exception",1433786746631
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavadocView",1433786750908
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavadocView",1433786750953
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.SourceView",1433786751529
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.SourceView",1433786751542
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1433786752471
